Freq (Hz)	Amplitude
2.699100299900032862e+00	3.663073070169120538e-01
2.732422525824724779e+00	4.516824496309848946e+00
2.765744751749416253e+00	1.541798937949134363e+00
2.799066977674108170e+00	2.318101404690070311e+00
2.832389203598800087e+00	2.277182019395187496e+00
2.865711429523491560e+00	2.960790404285310373e+00
2.899033655448183477e+00	3.893286507730461032e+00
2.932355881372875395e+00	3.556028673686828512e+00
2.965678107297566868e+00	2.389644676998323281e+00
2.999000333222258785e+00	2.585963379511699856e-01
3.032322559146950702e+00	9.829989057513652817e-01
3.065644785071642175e+00	8.599905450667855167e-01
3.098967010996334093e+00	4.087111899297760642e-01
3.132289236921026010e+00	4.895694886822799519e-01
3.165611462845717483e+00	1.296614670361405652e+00
3.198933688770409400e+00	1.391802498575668068e+00
3.232255914695101318e+00	3.010226767842931306e+00
3.265578140619792791e+00	1.907169313994933280e+00
3.298900366544484708e+00	1.484537522073242410e+00
3.332222592469176625e+00	1.760932119823916731e+00
3.365544818393868098e+00	2.236800105673348416e+00
3.398867044318560016e+00	1.835128494739437510e+00
3.432189270243251933e+00	1.271791181162015505e+00
3.465511496167943406e+00	2.728946575087982662e-01
3.498833722092635323e+00	5.207393556338546503e-01
3.532155948017327241e+00	2.245209781234331903e-01
3.565478173942018714e+00	7.447830138573190428e-01
3.598800399866710631e+00	1.809359445935929234e+00
3.632122625791402548e+00	2.340107151383965522e+00
3.665444851716094021e+00	2.015704255406059353e+00
3.698767077640785939e+00	1.923017811252451859e+00
3.732089303565477856e+00	1.956883822089350522e+00
3.765411529490169329e+00	1.283317606908953357e+00
3.798733755414861246e+00	2.116794860634366060e+00
3.832055981339552719e+00	1.206882544301504656e-01
3.865378207264244637e+00	1.578733914960377405e+00
3.898700433188936554e+00	1.361881961135372521e+00
3.932022659113628027e+00	8.891455497831366461e-01
3.965344885038319944e+00	4.969534004600237864e-01
3.998667110963011861e+00	5.540983464248929735e-01
4.031989336887703779e+00	8.930226693318722431e-01
