Posición angular-canales 1 y 2, Ensayo #1
Tiempo ( s )	Posición angular ( rad )
7,0900	1,85441
7,1000	1,78024
7,1100	1,71479
7,1200	1,65806
7,1300	1,59261
7,1400	1,51844
7,1500	1,45299
7,1600	1,38754
7,1700	1,30900
7,1800	1,24355
7,1900	1,16937
7,2000	1,08647
7,2100	1,01229
7,2200	0,933751
7,2300	0,855211
7,2400	0,772308
7,2500	0,693768
7,2600	0,610865
7,2700	0,527962
7,2800	0,445059
7,2900	0,357792
7,3000	0,274889
7,3100	0,187623
7,3200	0,104720
7,3300	0,0174533
7,3400	-0,0654498
7,3500	-0,152716
7,3600	-0,235619
7,3700	-0,318523
7,3800	-0,401426
7,3900	-0,479966
7,4000	-0,558505
7,4100	-0,645772
7,4200	-0,724312
7,4300	-0,807215
7,4400	-0,885755
7,4500	-0,964294
7,4600	-1,03411
7,4700	-1,10828
7,4800	-1,18246
7,4900	-1,26973
7,5000	-1,33954
7,5100	-1,40499
7,5200	-1,47480
7,5300	-1,54025
7,5400	-1,60570
7,5500	-1,67115
7,5600	-1,72788
7,5700	-1,78460
7,5800	-1,84132
7,5900	-1,89368
7,6000	-1,94604
7,6100	-1,98968
7,6200	-2,03767
7,6300	-2,08567
7,6400	-2,12494
7,6500	-2,16421
7,6600	-2,20348
7,6700	-2,23838
7,6800	-2,26893
7,6900	-2,29947
7,7000	-2,32129
7,7100	-2,34310
7,7200	-2,36492
7,7300	-2,38237
7,7400	-2,39110
7,7500	-2,40419
7,7600	-2,41728
7,7700	-2,42164
7,7800	-2,42601
7,7900	-2,42601
7,8000	-2,42601
7,8100	-2,42601
7,8200	-2,42601
7,8300	-2,41728
7,8400	-2,40855
7,8500	-2,39110
7,8600	-2,36928
7,8700	-2,34747
7,8800	-2,32129
7,8900	-2,29511
7,9000	-2,26456
7,9100	-2,22966
7,9200	-2,19475
7,9300	-2,15548
7,9400	-2,11621
7,9500	-2,07694
7,9600	-2,02458
7,9700	-1,98095
7,9800	-1,92859
7,9900	-1,87623
8,0000	-1,82387
8,0100	-1,76715
8,0200	-1,70606
8,0300	-1,64497
8,0400	-1,58389
8,0500	-1,52280
8,0600	-1,45299
8,0700	-1,38754
8,0800	-1,31336
8,0900	-1,24355
8,1000	-1,17810
8,1100	-1,11265
8,1200	-1,03411
8,1300	-0,951204
8,1400	-0,868301
8,1500	-0,794125
8,1600	-0,711222
8,1700	-0,632682
8,1800	-0,554142
8,1900	-0,475602
8,2000	-0,388336
8,2100	-0,301069
8,2200	-0,222529
8,2300	-0,139626
8,2400	-0,0523599
8,2500	0,0305433
8,2600	0,113446
8,2700	0,200713
8,2800	0,283616
8,2900	0,357792
8,3000	0,440696
8,3100	0,527962
8,3200	0,606502
8,3300	0,685042
8,3400	0,767945
8,3500	0,842121
8,3600	0,920661
8,3700	0,999201
8,3800	1,07338
8,3900	1,14755
8,4000	1,21737
8,4100	1,28718
8,4200	1,35699
8,4300	1,42681
8,4400	1,49226
8,4500	1,55334
8,4600	1,61443
8,4700	1,67115
8,4800	1,72788
8,4900	1,77587
8,5000	1,82387
8,5100	1,87187
8,5200	1,92423
8,5300	1,97659
8,5400	2,02458
8,5500	2,06385
8,5600	2,10749
8,5700	2,14675
8,5800	2,17730
8,5900	2,20784
8,6000	2,23838
8,6100	2,26456
8,6200	2,28638
8,6300	2,30820
8,6400	2,32565
8,6500	2,33874
8,6600	2,35183
8,6700	2,36056
8,6800	2,36928
8,6900	2,37365
8,7000	2,37365
8,7100	2,37365
8,7200	2,37365
8,7300	2,36928
8,7400	2,36056
8,7500	2,34747
8,7600	2,33001
8,7700	2,31256
8,7800	2,29511
8,7900	2,26893
8,8000	2,24275
8,8100	2,21220
8,8200	2,18166
8,8300	2,14675
8,8400	2,10749
8,8500	2,07258
8,8600	2,02895
8,8700	1,98531
8,8800	1,94168
8,8900	1,90241
8,9000	1,85441
8,9100	1,79333
8,9200	1,72788
8,9300	1,67115
8,9400	1,61007
8,9500	1,54462
8,9600	1,47917
8,9700	1,41808
8,9800	1,34827
8,9900	1,28282
9,0000	1,21300
9,0100	1,14319
9,0200	1,06901
9,0300	0,994838
9,0400	0,920661
9,0500	0,842121
9,0600	0,767945
9,0700	0,689405
9,0800	0,610865
9,0900	0,527962
9,1000	0,449422
9,1100	0,370882
9,1200	0,287979
9,1300	0,200713
9,1400	0,122173
9,1500	0,0392699
9,1600	-0,0392699
9,1700	-0,122173
9,1800	-0,200713
9,1900	-0,283616
9,2000	-0,366519
9,2100	-0,445059
9,2200	-0,519235
9,2300	-0,597775
9,2400	-0,685042
9,2500	-0,759218
9,2600	-0,833395
9,2700	-0,907571
9,2800	-0,981748
9,2900	-1,04283
9,3000	-1,10828
9,3100	-1,19119
9,3200	-1,27409
9,3300	-1,33518
9,3400	-1,40063
9,3500	-1,46608
9,3600	-1,52716
9,3700	-1,58825
9,3800	-1,64934
9,3900	-1,70170
9,4000	-1,75406
9,4100	-1,81078
9,4200	-1,85878
9,4300	-1,90241
9,4400	-1,95041
9,4500	-1,99404
9,4600	-2,03331
9,4700	-2,07258
9,4800	-2,11185
9,4900	-2,14239
9,5000	-2,17293
9,5100	-2,20348
9,5200	-2,22529
9,5300	-2,25147
9,5400	-2,26893
9,5500	-2,28638
9,5600	-2,30383
9,5700	-2,31256
9,5800	-2,32565
9,5900	-2,33001
9,6000	-2,33438
9,6100	-2,33874
9,6200	-2,33874
9,6300	-2,33874
9,6400	-2,33438
9,6500	-2,33001
9,6600	-2,31692
9,6700	-2,30383
9,6800	-2,28638
9,6900	-2,26456
9,7000	-2,24275
9,7100	-2,21657
9,7200	-2,18602
9,7300	-2,15548
9,7400	-2,12494
9,7500	-2,08567
9,7600	-2,05076
9,7700	-2,00713
9,7800	-1,96786
9,7900	-1,91986
9,8000	-1,87187
9,8100	-1,82387
9,8200	-1,77151
9,8300	-1,71479
9,8400	-1,66243
9,8500	-1,60134
9,8600	-1,54462
9,8700	-1,48353
9,8800	-1,42244
9,8900	-1,35263
9,9000	-1,28718
9,9100	-1,22173
9,9200	-1,15628
9,9300	-1,09083
9,9400	-1,02102
9,9500	-0,942478
9,9600	-0,859575
9,9700	-0,789761
9,9800	-0,715585
9,9900	-0,637045
10,0000	-0,562869
10,0100	-0,488692
10,0200	-0,405789
10,0300	-0,322886
10,0400	-0,244346
10,0500	-0,161443
10,0600	-0,0785398
10,0700	000000
10,0800	0,0785398
10,0900	0,161443
10,1000	0,239983
10,1100	0,318523
10,1200	0,392699
10,1300	0,471239
10,1400	0,554142
10,1500	0,628319
10,1600	0,706858
10,1700	0,785398
10,1800	0,859575
10,1900	0,933751
10,2000	1,00356
10,2100	1,07774
10,2200	1,14755
10,2300	1,21300
10,2400	1,27845
10,2500	1,34390
10,2600	1,40935
10,2700	1,47044
10,2800	1,53153
10,2900	1,58825
10,3000	1,64061
10,3100	1,69733
10,3200	1,74969
10,3300	1,79333
10,3400	1,83260
10,3500	1,87187
10,3600	1,91986
10,3700	1,97222
10,3800	2,01149
10,3900	2,04640
10,4000	2,08131
10,4100	2,11621
10,4200	2,14239
10,4300	2,16857
10,4400	2,19039
10,4500	2,21220
10,4600	2,22966
10,4700	2,24275
10,4800	2,25584
10,4900	2,26893
10,5000	2,27329
10,5100	2,27765
10,5200	2,28202
10,5300	2,28202
10,5400	2,28202
10,5500	2,27765
10,5600	2,27329
10,5700	2,26020
10,5800	2,24711
10,5900	2,23402
10,6000	2,21220
10,6100	2,19039
10,6200	2,16421
10,6300	2,13367
10,6400	2,10312
10,6500	2,07694
10,6600	2,04204
10,6700	2,00277
10,6800	1,96786
10,6900	1,92859
10,7000	1,88932
10,7100	1,84569
10,7200	1,78896
10,7300	1,72788
10,7400	1,67552
10,7500	1,62316
10,7600	1,56207
10,7700	1,50535
10,7800	1,44426
10,7900	1,37881
10,8000	1,31772
10,8100	1,25227
10,8200	1,18682
10,8300	1,12137
10,8400	1,04720
10,8500	0,981748
10,8600	0,907571
10,8700	0,833395
10,8800	0,759218
10,8900	0,689405
10,9000	0,610865
10,9100	0,532325
10,9200	0,453786
10,9300	0,379609
10,9400	0,301069
10,9500	0,222529
10,9600	0,148353
10,9700	0,0654498
10,9800	-0,0130900
10,9900	-0,0916298
11,0000	-0,165806
11,0100	-0,244346
11,0200	-0,318523
11,0300	-0,401426
11,0400	-0,471239
11,0500	-0,541052
11,0600	-0,623955
11,0700	-0,706858
11,0800	-0,772308
11,0900	-0,846485
11,1000	-0,920661
11,1100	-0,981748
11,1200	-1,04720
11,1300	-1,11701
11,1400	-1,18246
11,1500	-1,26100
11,1600	-1,32645
11,1700	-1,37881
11,1800	-1,44862
11,1900	-1,50535
11,2000	-1,56207
11,2100	-1,61879
11,2200	-1,67115
11,2300	-1,72351
11,2400	-1,76715
11,2500	-1,81514
11,2600	-1,86314
11,2700	-1,90241
11,2800	-1,94168
11,2900	-1,98095
11,3000	-2,01586
11,3100	-2,04640
11,3200	-2,08131
11,3300	-2,10749
11,3400	-2,13367
11,3500	-2,15548
11,3600	-2,17730
11,3700	-2,19475
11,3800	-2,21220
11,3900	-2,22529
11,4000	-2,23402
11,4100	-2,24275
11,4200	-2,24711
11,4300	-2,24711
11,4400	-2,25147
11,4500	-2,25147
11,4600	-2,24711
11,4700	-2,24275
11,4800	-2,23402
11,4900	-2,22093
11,5000	-2,20348
11,5100	-2,18602
11,5200	-2,16421
11,5300	-2,14239
11,5400	-2,12058
11,5500	-2,09003
11,5600	-2,05949
11,5700	-2,02458
11,5800	-1,98531
11,5900	-1,95041
11,6000	-1,90677
11,6100	-1,86750
11,6200	-1,82387
11,6300	-1,77151
11,6400	-1,72351
11,6500	-1,67115
11,6600	-1,61879
11,6700	-1,56207
11,6800	-1,50971
11,6900	-1,45299
11,7000	-1,39190
11,7100	-1,32645
11,7200	-1,26100
11,7300	-1,20428
11,7400	-1,14319
11,7500	-1,07774
11,7600	-1,00793
11,7700	-0,933751
11,7800	-0,855211
11,7900	-0,785398
11,8000	-0,715585
11,8100	-0,641409
11,8200	-0,571595
11,8300	-0,497419
11,8400	-0,418879
11,8500	-0,340339
11,8600	-0,261799
11,8700	-0,187623
11,8800	-0,109083
11,8900	-0,0305433
11,9000	0,0479966
11,9100	0,122173
11,9200	0,200713
11,9300	0,279253
11,9400	0,349066
11,9500	0,423242
11,9600	0,501782
11,9700	0,580322
11,9800	0,650135
11,9900	0,728675
12,0000	0,798488
12,0100	0,868301
12,0200	0,938114
12,0300	1,00793
12,0400	1,07774
12,0500	1,14319
12,0600	1,20428
12,0700	1,26973
12,0800	1,33081
12,0900	1,39190
12,1000	1,44862
12,1100	1,50971
12,1200	1,56207
12,1300	1,61443
12,1400	1,66243
12,1500	1,71042
12,1600	1,75406
12,1700	1,79333
12,1800	1,82823
12,1900	1,86750
12,2000	1,90677
12,2100	1,94168
12,2200	1,97222
12,2300	2,01586
12,2400	2,04204
12,2500	2,06822
12,2600	2,09440
12,2700	2,11185
12,2800	2,13367
12,2900	2,15112
12,3000	2,15984
12,3100	2,17293
12,3200	2,18166
12,3300	2,18602
12,3400	2,19039
12,3500	2,19039
12,3600	2,19039
